kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-LPS.5.sm_62.ptx 499 : 230496 2074624 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 498 : 230496 2074591 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 497 : 230496 5582382 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 496 : 230496 2075665 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 495 : 230496 2074595 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 494 : 230496 5584560 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 493 : 230496 2076409 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 492 : 230496 2074656 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 491 : 230496 5586406 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 490 : 230496 2075354 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 489 : 230496 2074467 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 488 : 230496 5578711 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 487 : 230496 2076435 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 486 : 230496 2074567 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 485 : 230496 5803766 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 484 : 230496 2075950 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 483 : 230496 5799990 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 482 : 230496 2077603 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 474 : 230496 1158522 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 767 : 230496 2075792 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 766 : 230496 2074464 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 775 : 250000 2804176 0 0 0 36250 10000 0 0 
ispass-2009-LPS.5.sm_62.ptx 762 : 230496 5579791 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 761 : 230496 2075775 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 757 : 230496 2074526 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 515 : 250000 6246516 0 10000 10000 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 514 : 250000 2735672 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 513 : 250000 2690236 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 510 : 250000 1913424 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 509 : 320000 443268 0 0 0 0 0 0 2500 
ispass-2009-LPS.5.sm_62.ptx 508 : 320000 2926336 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 507 : 320000 1606432 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 504 : 250000 2764660 0 0 0 36250 10000 0 0 
ispass-2009-LPS.5.sm_62.ptx 503 : 250000 2257392 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 502 : 250000 2252188 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 472 : 250000 1504940 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 469 : 250000 1509920 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 132 : 5688 1242025 0 0 0 1584 292 0 0 
ispass-2009-LPS.5.sm_62.ptx 468 : 250000 1503040 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 131 : 5688 51192 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 457 : 142200 1280504 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 120 : 10000 90000 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 450 : 142200 3446085 0 7300 7300 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 113 : 12800 115200 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 463 : 320000 1602784 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 126 : 12800 35629 0 0 0 0 0 0 148 
ispass-2009-LPS.5.sm_62.ptx 133 : 5688 17350 0 292 292 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 470 : 250000 2262208 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 465 : 250000 1260148 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 464 : 320000 353584 0 0 0 0 0 0 2500 
ispass-2009-LPS.5.sm_62.ptx 127 : 5688 28583 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 130 : 5688 51192 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 425 : 250000 2251364 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 88 : 7600 45600 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 424 : 250000 6180892 0 10000 10000 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 87 : 7600 45600 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 163 : 12800 64224 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 153 : 12800 64128 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 152 : 12800 76864 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 151 : 12800 76864 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 150 : 12800 76800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 149 : 12800 76864 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 148 : 12800 77280 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 147 : 12800 115200 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 146 : 12800 76800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 479 : 19504 97743 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 142 : 12800 77184 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 145 : 12800 76800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 478 : 19504 493173 0 5296 5296 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 141 : 12800 77504 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 144 : 12800 76800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 477 : 19504 175822 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 140 : 12800 115264 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 143 : 12800 64576 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 473 : 250000 97733 0 0 0 0 0 0 4704 
ispass-2009-LPS.5.sm_62.ptx 136 : 12800 76800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 139 : 12800 77184 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 471 : 250000 1503688 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 137 : 12800 0 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 460 : 142200 443633 0 7300 7300 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 459 : 142200 31719750 45856 0 0 39600 7300 0 0 
ispass-2009-LPS.5.sm_62.ptx 125 : 12800 115744 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 458 : 142200 1280479 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 121 : 10000 34372 0 400 400 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 124 : 12800 77088 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 455 : 142200 0 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 118 : 10000 90000 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 423 : 250000 2417488 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 86 : 7600 45600 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 89 : 7600 45600 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 426 : 250000 6465308 0 10000 10000 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 68 : 7600 68400 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 62 : 1200 7200 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 736 : 320000 352688 0 0 0 0 0 0 2500 
ispass-2009-LPS.5.sm_62.ptx 99 : 12800 65280 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 436 : 250000 77573992 655072 0 0 36250 10000 0 0 
