kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-NQU.5.sm_62.ptx 161 : 21 63 0 1 1 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 133 : 21 105 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 125 : 46 414 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 128 : 978 8802 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 100 : 1914 11484 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 99 : 1914 49420 0 307 122 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 98 : 1914 17226 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 97 : 1914 11484 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 96 : 1914 19140 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 132 : 1935 9570 0 0 0 0 0 0 15 
ispass-2009-NQU.5.sm_62.ptx 131 : 1935 11610 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 153 : 957 4785 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 152 : 957 3815 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 151 : 957 5742 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 150 : 957 5742 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 149 : 957 3815 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 148 : 957 5742 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 147 : 957 5742 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 146 : 957 23912 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 145 : 957 8613 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 144 : 957 3815 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 143 : 957 5742 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 142 : 957 5742 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 141 : 957 23912 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 140 : 957 8613 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 139 : 957 3815 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 138 : 957 5742 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 137 : 957 23912 0 205 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 136 : 957 8613 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 122 : 957 4785 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 121 : 1003 230 0 0 0 0 0 0 32 
ispass-2009-NQU.5.sm_62.ptx 120 : 1003 6018 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 119 : 1003 9027 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 117 : 1003 0 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 116 : 1003 6018 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 115 : 1003 6018 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 114 : 1003 4053 0 211 117 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 113 : 1003 6018 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 112 : 1003 6018 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 111 : 1003 6018 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 110 : 1003 9027 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 109 : 1003 9027 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 108 : 1003 6018 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 107 : 1003 10030 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 105 : 1935 4660 0 0 0 0 0 0 114 
ispass-2009-NQU.5.sm_62.ptx 104 : 1935 11610 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 103 : 1935 11610 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 93 : 21 105 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 92 : 21 126 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 91 : 21 105 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 90 : 21 84 0 2 1 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 89 : 21 189 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 88 : 21 105 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 87 : 21 126 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 86 : 21 126 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 85 : 21 84 0 2 1 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 84 : 21 189 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 83 : 21 105 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 82 : 21 4074 0 0 0 3 1 0 0 
ispass-2009-NQU.5.sm_62.ptx 80 : 21 126 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 79 : 21 84 0 2 1 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 81 : 21 189 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 248 : 24576 123360 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 232 : 256 6176 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 231 : 256 6174 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 245 : 256 768 0 0 0 256 256 0 0 
ispass-2009-NQU.5.sm_62.ptx 78 : 21 189 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 244 : 256 2304 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 77 : 21 105 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 69 : 21 4074 0 0 0 3 1 0 0 
ispass-2009-NQU.5.sm_62.ptx 68 : 21 189 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 234 : 256 768 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 67 : 21 273 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 177 : 24576 122880 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 233 : 256 2304 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 66 : 21 168 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 63 : 24555 191287 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 229 : 24576 121600 0 0 0 0 0 0 256 
ispass-2009-NQU.5.sm_62.ptx 62 : 24576 189 0 0 0 0 0 0 1 
ispass-2009-NQU.5.sm_62.ptx 172 : 8192 199680 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 228 : 24576 147456 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 61 : 24576 268288 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 171 : 8192 199616 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 227 : 24576 122880 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 60 : 24576 192512 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 49 : 24576 379392 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 207 : 24576 123360 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 48 : 24576 364032 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 158 : 24555 130935 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 157 : 24555 85217 0 768 768 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 204 : 2048 6144 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 202 : 2048 49416 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 156 : 24555 180471 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 203 : 2048 18432 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 208 : 24576 147456 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 218 : 24576 147456 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 51 : 24576 586752 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 209 : 24576 118660 0 0 0 0 0 0 256 
ispass-2009-NQU.5.sm_62.ptx 219 : 24576 120350 0 0 0 0 0 0 256 
ispass-2009-NQU.5.sm_62.ptx 52 : 24576 136192 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 164 : 24576 133056 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 53 : 24576 129536 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 44 : 24576 271360 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 211 : 1024 24700 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 165 : 24576 223136 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 221 : 512 12378 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 54 : 24576 268800 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 45 : 24576 289792 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 212 : 1024 24716 0 256 256 0 0 0 0 
